102352610405511, 202028623863107, 54441177479725 @ 288, 172, 406
225555584244738, 280452001678940, 158175058414862 @ 97, -361, 177
227688767181124, 208974144896814, 197748595030382 @ 104, -84, -576
256514611869723, 443016198563566, 215465196938312 @ 36, -139, 159
348440006434670, 490824817986033, 368923463621581 @ -47, -108, 28
231691013749633, 197545931931585, 177997864407767 @ 50, 130, -88
335532744435166, 343515772393248, 309485800852970 @ -68, -10, 35
131875812841558, 244240750484694, 232138196193858 @ 206, 117, 131
248130961769228, 220218791451515, 79340716650557 @ 39, 140, 366
297038049385564, 295905547120074, 324144166012958 @ -45, 10, -57
328882441271272, 302809120090486, 362315862501548 @ -151, -59, -234
253965664275076, 335416418779924, 302084906814240 @ 47, 47, 95
235741803116821, 212580278018280, 162190620762017 @ -8, -81, 44
334803384020623, 251977499964039, 315490667263811 @ -64, 112, 32
248114701523982, 331313875861103, 312730040835597 @ 45, -8, 14
337568447505703, 321449985089280, 233827940110776 @ -154, -81, 67
163777893819292, 229738944365382, 263793315955379 @ 183, 125, 50
198684898056503, 196276051627940, 193908468774407 @ 262, 163, -42
205277318164948, 78594697091980, 103462395219777 @ 143, 523, 376
113807736615426, 91688661606160, 163397413058836 @ 354, 434, 208
255603273103218, 274593918659409, 156949815158818 @ -39, -162, 205
273642965497716, 400968143873770, 358353904893658 @ 9, -106, -50
278403245467928, 303013861523634, 341276867036982 @ 21, 75, 49
300668967364408, 295393398959085, 284802035516612 @ -45, 20, 23
317648836266236, 217409259311250, 309750855959968 @ -33, 159, 56
253837557588076, 233476317682710, 281239873053722 @ -57, -31, -466
300045469631008, 311727435576390, 346315094004872 @ -23, 29, -18
210188524737608, 276376814414362, 210127152116347 @ 211, -415, -206
213402686575990, 387125222467755, 289053078059069 @ 89, -26, 92
290638018930708, 339154528681614, 324627681751862 @ 6, 32, 59
227888053507736, 290840528515412, 350647604819848 @ 75, -25, -193
258559390559845, 243816328827294, 194055381454044 @ -76, -75, 7
284380372021153, 267824835468318, 178418325663621 @ -154, -123, 118
333724439139488, 149653537717924, 267390530835804 @ -59, 242, 98
285481777138870, 335098705235094, 304903251151139 @ -35, -83, -52
346182731256238, 439569333784068, 489447266169764 @ -144, -268, -384
